CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,661,-329,"1,736",-,"1,935.00",569.35,"1,875","1,926.65","1,937.35","1,500","40,200.00",525,0.05,0.10,875,-5.40,0.05,26.56,"5,12,149","-18,144","19,734",
,656,-313,799,-,"1,837.15",573.90,50,"1,826.70","1,838.50",175,"40,300.00","18,450",0.05,0.10,50,-5.75,0.05,25.25,"4,75,041","-21,785","16,837",
,"1,765",-431,"1,113",-,"1,736.65",594.35,150,"1,726.35","1,739.15",50,"40,400.00",-,-,0.05,"66,350",-6.35,0.05,23.95,"6,57,116","4,125","34,105",
,"10,577","-6,571","17,275",-,"1,632.50",572.50,125,"1,632.15","1,635.35",25,"40,500.00","1,01,150",0.05,0.10,"5,350",-7.05,0.10,23.85,"22,11,093","-2,093","1,03,926",
,"2,905","-1,607","4,245",-,"1,535.50",565.80,100,"1,523.05","1,536.70",50,"40,600.00",800,0.05,0.15,"5,000",-7.70,0.15,23.23,"8,89,073","-8,589","37,064",
,"4,312","-4,469","10,038",-,"1,435.80",566.90,50,"1,428.75","1,436.80",50,"40,700.00","1,350",0.10,0.15,950,-9.05,0.10,20.03,"12,57,524","-27,314","36,607",
,"3,275","-2,568","20,352",-,"1,331.60",570.05,300,"1,322.85","1,335.80",50,"40,800.00","1,08,175",0.05,0.10,"2,875",-10.90,0.10,19.74,"15,22,527","-28,705","54,754",
,"5,582","-4,232","22,586",-,"1,235.20",571.80,50,"1,233.00","1,235.70",150,"40,900.00","1,450",0.05,0.10,"4,425",-13.75,0.05,17.40,"14,76,793","-24,336","36,553",
,"17,129","-6,832","1,71,664",-,"1,135.00",569.60,50,"1,131.00","1,135.00",175,"41,000.00","2,700",0.10,0.15,"5,375",-18.35,0.10,16.98,"37,45,198","-14,295","1,30,146",
,"9,953","-7,207","1,03,099",-,"1,031.30",560.75,25,"1,031.95","1,035.40",100,"41,100.00","43,400",0.05,0.10,"3,550",-25.00,0.10,14.76,"26,54,161","-47,395","41,740",
,"10,074","-11,358","4,24,505",-,931.55,552.55,50,931.25,935.15,50,"41,200.00","44,375",0.10,0.15,550,-35.85,0.10,14.20,"38,15,499","-49,144","60,807",
,"11,331","-19,997","9,47,523",-,832.55,536.90,100,830.65,832.55,175,"41,300.00","63,675",0.05,0.15,"5,525",-52.15,0.05,12.10,"55,55,954","-55,538","52,818",
,"20,415","-25,106","19,76,934",-,734.80,514.25,125,731.55,733.00,25,"41,400.00","11,300",0.10,0.15,"1,800",-76.55,0.10,11.40,"79,40,414","-55,273","64,503",
,"62,197","-62,435","68,03,418",-,633.30,476.15,325,633.30,634.15,125,"41,500.00","47,650",0.05,0.15,"3,975",-112.10,0.05,9.41,"1,49,39,994","-21,722","1,25,398",
,"15,413","-63,680","94,68,315",-,532.75,425.80,25,530.60,532.75,75,"41,600.00",-,-,0.05,"50,325",-157.80,0.05,8.05,"1,45,94,669","28,352","76,115",
,"56,426","-42,841","1,62,41,692",-,432.95,365.10,50,431.05,432.95,175,"41,700.00",-,-,0.05,"1,16,750",-219.20,0.05,6.68,"1,61,89,282","78,554","1,07,657",
,"24,573","-55,798","1,89,31,139",-,331.10,290.20,50,331.10,333.00,"1,950","41,800.00",-,-,0.05,"1,41,400",-294.50,0.05,5.28,"1,28,43,989","74,758","89,129",
,"33,705","-36,272","1,74,90,634",-,233.75,210.00,"1,800",232.05,234.65,150,"41,900.00",-,-,0.05,"7,250",-373.00,0.05,3.86,"95,43,692","75,732","80,599",
,"77,089","-50,535","2,09,53,374",-,132.60,118.90,"70,150",132.60,132.95,"4,825","42,000.00",-,-,0.05,"2,73,675",-469.85,0.05,2.39,"93,66,528","1,31,874","1,40,327",
,"1,04,958","45,061","1,58,71,719",-,33.00,25.20,"14,000",33.00,33.05,25,"42,100.00",-,-,0.05,"7,07,225",-571.65,0.05,0.83,"68,65,945","1,96,934","1,98,392",
,"2,23,714","1,75,131","96,30,118",1.03,0.05,-4.85,-,-,0.05,"10,89,375","42,200.00","15,175",66.50,66.95,125,-582.40,66.50,3.50,"20,09,304","53,294","54,098",
,"98,076","60,736","31,75,892",2.56,0.05,-3.45,-,-,0.05,"1,92,950","42,300.00",775,166.60,166.75,25,-567.65,166.75,6.62,"3,39,990","7,817","8,649",
,"46,865","22,022","17,05,585",4.00,0.05,-2.70,-,-,0.05,"1,40,550","42,400.00",25,266.10,267.95,50,-577.05,266.10,9.23,"1,04,566","2,451","2,613",
,"1,62,980","45,498","31,17,462",5.40,0.05,-2.25,-,-,0.05,"1,35,225","42,500.00",25,366.90,367.10,25,-581.80,367.25,11.33,"94,011",829,"2,571",
,"24,131","3,782","7,06,123",6.77,0.05,-1.70,-,-,0.05,"27,475","42,600.00",125,465.25,467.25,100,-570.45,467.25,14.54,"17,606",614,693,
,"17,032","-2,175","6,21,251",8.60,0.10,-1.45,900,0.05,0.10,"2,825","42,700.00",25,565.95,570.25,25,-558.25,569.80,16.37,"4,119",377,414,
,"14,716","1,530","4,42,124",9.42,0.05,-1.35,-,-,0.05,"1,25,875","42,800.00",100,664.95,668.65,50,-600.70,669.05,19.85,"2,367",143,195,
,"8,985",62,"3,28,648",10.73,0.05,-1.25,-,-,0.05,"6,450","42,900.00",25,764.75,768.30,50,-572.20,765.00,20.78,"1,726",127,162,
,"87,561","-5,700","14,98,693",12.01,0.05,-1.10,-,-,0.05,"4,525","43,000.00",375,866.65,879.60,125,-572.80,866.95,23.53,"3,791",-386,241,
,"9,143","-1,846","2,54,803",13.29,0.05,-0.80,-,-,0.05,"24,050","43,100.00",50,962.50,969.80,50,-862.20,970.90,27.32,787,61,62,
,"5,946","-3,952","2,04,859",14.55,0.05,-0.75,-,-,0.05,"19,500","43,200.00",200,"1,060.00","1,074.00",50,-750.30,"1,071.80",29.89,289,47,73,
,"4,245","-2,164","1,64,296",15.80,0.05,-0.65,-,-,0.05,"6,100","43,300.00",50,"1,162.40","1,167.20",100,-741.05,"1,144.60",-,"1,023",379,381,
,"3,140",-763,"1,59,602",17.04,0.05,-0.60,-,-,0.05,"10,475","43,400.00",400,"1,250.00","1,289.90",900,-748.50,"1,263.60",30.01,136,8,10,
,"34,940","-13,427","5,13,581",18.27,0.05,-0.65,-,-,0.05,"1,42,025","43,500.00",100,"1,360.10","1,389.90",900,-587.60,"1,358.95",27.99,810,-90,82,
,"3,917","1,998","1,28,169",19.50,0.05,-0.55,-,-,0.05,"39,025","43,600.00",750,"1,400.15","1,479.85",175,"-1,066.65","1,489.85",45.19,97,21,21,
,"7,360","4,823","1,20,489",20.71,0.05,-0.45,-,-,0.05,"5,600","43,700.00",25,"1,548.55","1,589.85",25,"-1,077.55","1,553.95",-,8,-,-,
,"2,890","1,712","1,01,724",21.92,0.05,-0.45,-,-,0.05,"13,025","43,800.00",25,"1,644.00","1,689.90",900,-567.40,"2,140.05",125.29,1,1,1,
,"3,359","2,270","95,367",23.12,0.05,-0.50,-,-,0.05,"14,700","43,900.00",50,"1,736.20","1,783.00",400,-999.35,"1,783.10",49.60,4,-,-,
,"27,472","-5,911","3,42,707",24.31,0.05,-0.50,-,-,0.05,"1,01,625","44,000.00",750,"1,800.15","1,875.85",100,-626.15,"1,873.85",47.71,231,-28,77,
,"1,621","1,621","62,957",25.50,0.05,-403.55,-,-,0.05,"8,100","44,100.00",750,"1,787.10","2,062.10",750,-,-,-,-,-,-,
,"8,533","-2,370","1,03,452",30.18,0.05,-0.45,-,-,0.05,"59,875","44,500.00",750,"2,187.80","2,458.80",775,-915.85,"2,384.15",62.74,1,-,1,
,"8,050","-1,355","1,05,153",35.91,0.05,-0.50,-,-,0.05,"1,275","45,000.00",500,"2,644.30","3,018.15",750,-328.90,"3,201.10",143.68,21,-13,4,
,"5,364",181,"89,573",41.51,0.05,-0.40,-,-,0.05,"9,650","45,500.00",750,"3,185.00","3,541.65",750,-,-,-,-,-,-,
,"10,222",-920,"96,316",47.00,0.05,-0.35,-,-,0.05,"20,175","46,000.00",750,"3,692.25","4,027.65",750,-,-,-,-,-,-,
,"6,626","-2,341","79,896",52.39,0.05,-0.30,-,-,0.05,"24,700","46,500.00",750,"4,159.45","4,608.75",750,14.75,"4,949.50",-,-,-,5,
,"22,056","-5,802","2,06,781",57.69,0.05,-0.30,-,-,0.05,"3,82,150","47,000.00",750,"4,658.50","5,152.20",750,-,-,-,-,-,-,
,"1,351",-573,"53,245",62.89,0.05,-0.35,-,-,0.05,"2,450","47,500.00",750,"5,198.75","5,606.30",500,-,-,-,-,-,-,
